,name,address,start_time,end_time,start_time_saturday,end_time_saturday,start_time_holiday,end_time_holiday,fee,longitude,latitude
130,カナートモール伏見,京都府京都市伏見区深草出羽屋敷町23,9:00,21:45,9:00,21:45,9:00,21:45,110,135.763763,34.947048
131,小栗栖出張所,京都府京都市伏見区小栗栖南後藤町6,8:00,21:00,8:00,21:00,8:00,21:00,110,135.802063,34.943802
132,向島支店,京都府京都市伏見区向島四ツ谷池14-19,8:00,21:00,8:00,21:00,8:00,21:00,110,135.773743,34.918533
133,ベルファ宇治槇島店,京都府宇治市槇島町清水48番地,10:00,20:00,10:00,20:00,10:00,20:00,110,135.782806,34.916378
134,近鉄向島駅前,京都府京都市伏見区向島二ノ丸町384-1,7:00,23:00,7:00,23:00,7:00,23:00,110,135.770187,34.914833
135,マツモト宇治西店,京都府宇治市槇島町18-47,9:00,22:00,9:00,22:00,9:00,22:00,110,135.782425,34.910858
136,藤森支店,京都府京都市伏見区深草北新町633（墨染支店内）,8:00,21:00,8:00,21:00,8:00,21:00,110,135.769943,34.948357
137,桂川支店,京都府向日市寺戸町八ノ坪117-2,8:00,21:00,8:00,21:00,8:00,21:00,110,135.70546,34.963173
138,藤森,京都府京都市伏見区深草直違橋二丁目438番地2,8:00,21:00,8:00,21:00,8:00,21:00,110,135.770828,34.95472
139,ダイエー桂南店,京都府京都市南区久世上久世町 485番地,8:00,22:00,8:00,22:00,8:00,22:00,110,135.717224,34.967133
140,イオンモール京都桂川,京都府京都市南区久世高田町３７６番１,8:00,23:00,8:00,23:00,8:00,23:00,110,135.707932,34.963566
141,長岡京駅前支店,京都府長岡京市神足2-7-25,8:00,21:00,8:00,21:00,8:00,21:00,110,135.697937,34.921841
142,阪急西山天王山駅前,京都府長岡京市友岡四丁目21番13号,7:00,23:00,7:00,23:00,7:00,23:00,110,135.689545,34.91333
143,長岡今里支店,京都府長岡京市今里3-3-10,8:00,21:00,8:00,21:00,8:00,21:00,110,135.688217,34.93486
144,松井山手支店,京都府京田辺市山手南2-2-1,8:00,21:00,8:00,21:00,8:00,21:00,110,135.728409,34.832031
145,ホームセンタームサシ京都八幡店,京都府八幡市欽明台北3-1,9:00,20:00,9:00,20:00,9:00,20:00,110,135.719513,34.841377
146,八幡中央支店,京都府八幡市八幡沓田10-5,8:00,21:00,8:00,21:00,8:00,21:00,110,135.706665,34.874405
147,八幡市役所,京都府八幡市八幡園内75番地,8:45,20:00,8:45,20:00,-,-,110,135.707626,34.875523
148,イズミヤ八幡店,京都府八幡市八幡一ノ坪２３-１,9:30,21:00,9:30,21:00,9:30,21:00,110,135.712051,34.860188
149,京阪石清水八幡宮駅,京都府八幡市八幡高坊9番2,8:00,21:00,8:00,21:00,8:00,21:00,110,135.700012,34.884846
150,三山木支店,京都府京田辺市田辺中央3-7-1（田辺支店内）,8:00,21:00,8:00,21:00,8:00,21:00,110,135.77002,34.81926
151,三山木,京都府京田辺市三山木中央6丁目5番地16,8:00,21:00,8:00,21:00,8:00,21:00,110,135.782135,34.799492
152,宇治田原支店,京都府綴喜郡宇治田原町大字郷之口小字中林2,8:00,21:00,8:00,21:00,8:00,21:00,110,135.853775,34.849884
153,三室戸支店,京都府宇治市菟道谷下り42,8:00,21:00,8:00,21:00,8:00,21:00,110,135.80864,34.899033
154,アル・プラザ宇治東,京都府宇治市菟道平町28番地1,10:00,21:00,10:00,21:00,10:00,21:00,110,135.80304,34.902111
155,東長岡支店,京都府長岡京市馬場見場走り12-7,8:00,21:00,8:00,21:00,8:00,21:00,110,135.706345,34.926575
156,万代はづかし店,京都府京都市伏見区羽束師志水町177-1,7:30,22:00,7:30,22:00,7:30,22:00,110,135.725082,34.930363
157,久津川支店,京都府城陽市平川横道41-1,8:00,21:00,8:00,21:00,8:00,21:00,110,135.776718,34.864532
158,イズミヤ大久保店,京都府城陽市平川室木85番地,10:00,21:00,10:00,21:00,10:00,21:00,110,135.776688,34.867546
159,久津川駅前,京都府城陽市平川指月58番地の2,8:00,20:00,8:00,20:00,8:00,20:00,110,135.772949,34.864414
160,大住支店,京都府京田辺市大住ケ丘4-2-8,8:00,21:00,8:00,21:00,8:00,21:00,110,135.744293,34.829769
161,伊勢田支店,京都府宇治市羽拍子町84-14,8:00,21:00,8:00,21:00,8:00,21:00,110,135.78067,34.883732
162,宇治南陵町,京都府宇治市神明石塚54番地の18,8:45,20:00,8:45,20:00,8:45,20:00,110,135.784348,34.883854
